8a53afc,path0171,6 weeks ago,Added wireframes + reorganisation
46ddde9,dimmoto865,6 weeks ago,Merge branch 'main' of https://github.com/path0171/Monday-9.30-THZS
8bff68a,dimmoto865,6 weeks ago,Toby
c6958eb,path0171,6 weeks ago,Further completion of markdown
a926b23,path0171,6 weeks ago,Update Markdown Report.md
dad2a37,path0171,6 weeks ago,Merge branch 'main' of https://github.com/path0171/Monday-9.30-THZS
04bb002,path0171,6 weeks ago,Added Persona's to report
febaa5c,HirunaR05,6 weeks ago,Merge branch 'main' of https://github.com/path0171/Monday-9.30-THZS
b404778,HirunaR05,6 weeks ago,Adding the author name and ID
595b675,dimmoto865,6 weeks ago,Delete ~$MS and KLM report Hiruna.docx
51d2afa,path0171,6 weeks ago,Image test in markdown
2ac0509,path0171,6 weeks ago,Updated Markdown Report
71da97c,dimmoto865,6 weeks ago,Create ~$MS and KLM report Hiruna.docx
3332817,path0171,6 weeks ago,Added PACT and website concepts to report
fdae60b,Saaim0013,6 weeks ago,Update Markdown Report.md
13b0fe8,Saaim0013,6 weeks ago,Update Markdown Report.md
5bcd541,Saaim0013,6 weeks ago,Create Markdown Report.md
848b3bf,dimmoto865,6 weeks ago,Update Markdown Report.md
d6c81a7,dimmoto865,6 weeks ago,umm
a7c01f2,dimmoto865,6 weeks ago,Create a1.md
8888e7e,Saaim0013,6 weeks ago,Merge branch 'main' of https://github.com/path0171/Monday-9.30-THZS
3db8860,path0171,6 weeks ago,Removed Space
4211b85,path0171,6 weeks ago,Fixed space error
0445913,path0171,6 weeks ago,Changed name to avoid conflict
f7b7d0f,path0171,6 weeks ago,- Changed names to avoid conflict
36299a0,Saaim0013,6 weeks ago,Create GOMS-KLM Analysis (Saaim-saai0013).pdf
cfd0dda,Saaim0013,6 weeks ago,Update Target audience profile.md
33c07ee,path0171,6 weeks ago,Added sitemap
537428f,path0171,6 weeks ago,Wrote Scope Statement
0cfc49d,HirunaR05,6 weeks ago,Website Concept
dafc6fc,HirunaR05,6 weeks ago,Individual Tasks
dd6f6c6,path0171,6 weeks ago,Added GOMS/KLM and renamed files with FAN
fd2ad95,Saaim0013,6 weeks ago,Merge branch 'main' of https://github.com/path0171/Monday-9.30-THZS
1fe8946,Saaim0013,6 weeks ago,Update Target audience profile.md
29f47d3,HirunaR05,6 weeks ago,Merge branch 'main' of https://github.com/path0171/Monday-9.30-THZS
ce3d1f8,HirunaR05,6 weeks ago,Update .DS_Store
fe2f2a1,path0171,6 weeks ago,User Flow and Digital Storyboard
48bbcc2,path0171,6 weeks ago,Added Digital Wireframes
a897b34,path0171,6 weeks ago,Organised Documents
e7f7ba4,HirunaR05,8 weeks ago,Update .DS_Store
ba5a986,path0171,8 weeks ago,Fixed path for Hiruna
9597c5d,path0171,Merge branch 'main' of https://github.com/path0171/Monday-9.30-THZS
1d91aea,path0171,8 weeks ago,Saaim's persona + wireframe + storyboard
a99593c,HirunaR05,8 weeks ago,Hiruna - Individual Tasks
e36456f,dimmoto865,8 weeks ago,LOL
3f7541f,dimmoto865,8 weeks ago,Toby
5287c08,path0171,8 weeks ago,Added wireframes, pact analysis and storyboard
1603f06,path0171,8 weeks ago,Add Zac's Wireframes
23d620f,dimmoto865,9 weeks ago,Create Testing how we put stuff in here.txt%                          
